Timepoint,Outcome_Mean,Outcome_SD,Outcome_Min,Outcome_Max,Treatment1_Mean,Treatment1_SD,Treatment1_Min,Treatment1_Max,Treatment2_Mean,Treatment2_SD,Treatment2_Min,Treatment2_Max
19,10.255439,1.0640662,1.5810089,12.656533,0.719962,0.06600924,0.16434109,0.84179866,0.7397016,0.063745774,0.17591682,0.8548533
20,10.25424,1.0667061,1.5559444,12.63217,0.7198387,0.06628792,0.16303265,0.8417156,0.73958004,0.06402962,0.17453547,0.8547759
21,10.253001,1.067665,1.5366395,12.630675,0.71973646,0.06661009,0.1613966,0.84173554,0.7394779,0.06436146,0.1728078,0.85511595
22,10.250681,1.0661986,1.4582498,12.550199,0.71967024,0.06663167,0.15996757,0.8415495,0.7394138,0.064383976,0.17129838,0.8549429
23,10.249517,1.0664351,1.4460686,12.570727,0.7195789,0.066656455,0.15861228,0.8406846,0.73932636,0.06440734,0.1698665,0.8541385
24,10.249282,1.0690866,1.5448362,12.533593,0.7195025,0.06669874,0.15847477,0.83965343,0.7392517,0.064455695,0.1690683,0.8531792
25,10.248057,1.0677545,1.4538416,12.621541,0.7194272,0.06668728,0.15764837,0.8397175,0.7391798,0.06443989,0.16819772,0.8530954
26,10.246563,1.0658541,1.3746915,12.557629,0.71936375,0.06666011,0.15681794,0.8398567,0.73911834,0.064405836,0.16732275,0.853225
27,10.2471285,1.0615034,1.4211041,12.620425,0.71932805,0.06654856,0.15657054,0.84035736,0.73908585,0.0642846,0.16706204,0.85369116
28,10.247855,1.0613334,1.4051722,12.582672,0.7193085,0.06637907,0.15519224,0.8408506,0.7390698,0.06410357,0.16560954,0.85415035
29,10.246089,1.0617602,1.3394321,12.507459,0.71928006,0.06625316,0.15407057,0.83960575,0.7390445,0.063968584,0.16442724,0.85299134
30,10.245608,1.057941,1.3110546,12.496732,0.7192737,0.06612567,0.15344955,0.8384867,0.7390397,0.06384006,0.16377254,0.8519492
31,10.244288,1.0554789,1.2469764,12.494669,0.71923137,0.06605156,0.15176074,0.8359087,0.73900133,0.06375667,0.16199186,0.84954756
32,10.244821,1.0521901,1.2803631,12.542362,0.71919197,0.065896116,0.15055966,0.83651346,0.73896635,0.06359283,0.16072516,0.8498523
33,10.242044,1.0511773,1.3338214,12.53321,0.7191426,0.06573053,0.15050586,0.83756876,0.7389209,0.06342406,0.1606684,0.8508369
34,10.242723,1.0494007,1.2628398,12.516483,0.7191089,0.065595224,0.15004411,0.83777016,0.7388897,0.0632863,0.16018136,0.8510248
35,10.240512,1.0483524,1.2138555,12.497782,0.7190619,0.06548545,0.1497276,0.8376246,0.7388467,0.0631766,0.15984748,0.85088897
36,10.2395525,1.0485606,1.1993657,12.50667,0.7189906,0.06542591,0.14895585,0.8371342,0.7387799,0.06311885,0.15903334,0.8504315
37,10.239329,1.0464174,1.1944172,12.545116,0.7189548,0.065347075,0.14763531,0.83717674,0.7387472,0.06303582,0.15764001,0.85047114
38,10.237417,1.0424852,1.1402395,12.583646,0.7188798,0.06522736,0.14648198,0.8378622,0.738677,0.06290761,0.15642284,0.85111064
39,10.238781,1.0406114,1.268247,12.532753,0.71885836,0.065107696,0.14699273,0.8386099,0.7386577,0.06278193,0.15696189,0.8518081
40,10.236833,1.0397186,1.2735378,12.623507,0.71882373,0.06496031,0.14769161,0.8399167,0.7386258,0.0626278,0.1576994,0.8530267
41,10.236573,1.0377489,1.210432,12.657844,0.7187918,0.06480421,0.14784287,0.8411279,0.7385972,0.06246751,0.15785901,0.8541559
42,10.235235,1.0353118,1.2844757,12.617507,0.7187673,0.06468235,0.14921093,0.84146696,0.73857546,0.062344734,0.15930244,0.854472
43,10.236115,1.0359806,1.2287195,12.625758,0.718733,0.0645946,0.14883499,0.8425476,0.73854357,0.06225584,0.15890582,0.8554792
44,10.234132,1.0353093,1.1701541,12.594602,0.7186977,0.064513825,0.14785539,0.84225976,0.738511,0.06217302,0.15787223,0.85521096
45,10.233594,1.0340677,1.2068808,12.689832,0.7186571,0.06444731,0.14782183,0.84257823,0.73847276,0.062104974,0.15783682,0.8555078
46,10.233971,1.0323429,1.1848179,12.6762,0.7186401,0.06438666,0.14688276,0.8431612,0.73845756,0.062039506,0.15684584,0.8560511
47,10.231767,1.0318487,1.1412799,12.699515,0.7185788,0.06431332,0.1460629,0.8438914,0.7383999,0.061963566,0.15598053,0.8567314
48,10.233465,1.030649,1.1585236,12.6383705,0.71857375,0.06422813,0.14595413,0.84432334,0.73839617,0.061874893,0.15586573,0.85713387
49,10.232763,1.0256068,1.1468829,12.623437,0.71856886,0.06405286,0.14539412,0.8436677,0.73839337,0.061690476,0.15527458,0.856523
50,10.231853,1.0245155,1.1936272,12.593426,0.7185444,0.06389921,0.14547622,0.84284717,0.7383717,0.0615318,0.15536126,0.85575837
51,10.233816,1.0260718,1.069951,12.572533,0.7185805,0.0637834,0.14481245,0.8415816,0.73840714,0.061411172,0.15466055,0.85457885
52,10.232667,1.0238773,1.075828,12.60661,0.71857643,0.0636621,0.14404605,0.8408419,0.73840445,0.061287533,0.15385142,0.85388935
53,10.232313,1.0258106,1.0296054,12.601638,0.7185681,0.063644454,0.14296496,0.83963937,0.7383965,0.061265152,0.15270986,0.85276806
54,10.233679,1.0218782,1.0755745,12.622262,0.71859545,0.06356001,0.14188354,0.8410245,0.7384245,0.061171226,0.15156776,0.8540855
55,10.2308,1.0230314,0.9950943,12.74294,0.7185518,0.06347808,0.14120136,0.8429804,0.7383843,0.06108231,0.15084721,0.8559082
56,10.232771,1.0241547,1.0375814,12.697674,0.7185487,0.06345753,0.14085388,0.8438823,0.73838186,0.061054997,0.15048015,0.85674846
57,10.232868,1.0219718,0.9885146,12.719551,0.718563,0.06338958,0.14048135,0.84504384,0.738396,0.060986947,0.1500866,0.8578304
58,10.232883,1.0243931,1.0219725,12.753317,0.7185491,0.06343559,0.13999663,0.8463266,0.73838186,0.061033953,0.14957452,0.85902494
59,10.230377,1.0231391,1.0288342,12.726549,0.71854424,0.06345401,0.14030157,0.8461666,0.73837674,0.061054736,0.14989668,0.858876
60,10.230302,1.0246211,0.94717187,12.791225,0.71850884,0.06346938,0.1394857,0.8470777,0.73834264,0.061072305,0.14903468,0.85972434
61,10.228975,1.025537,0.96699053,12.820862,0.71844584,0.063532576,0.13929205,0.8476499,0.73828155,0.061134446,0.14883007,0.86039746
62,10.227549,1.0249137,0.93142754,12.793051,0.7183671,0.06355498,0.13847987,0.8480571,0.7382061,0.06115786,0.14797185,0.8607762
63,10.226956,1.0251706,0.9454251,12.798294,0.7183134,0.0635904,0.13773525,0.848887,0.73815453,0.061192986,0.1471849,0.86154795
64,10.22731,1.0259782,0.84249306,12.857944,0.7182688,0.06362272,0.13680549,0.84962904,0.73811144,0.061226387,0.14620216,0.86223793
65,10.225841,1.0248706,0.75957394,12.862333,0.7182265,0.0636211,0.13497882,0.850026,0.73807085,0.06122779,0.14427099,0.862607
66,10.22326,1.0262314,0.82194656,12.863645,0.7181621,0.06364796,0.13402297,0.8506997,0.738009,0.061256655,0.14326023,0.86323327
67,10.22367,1.023245,0.7888643,12.790366,0.7181175,0.06361647,0.132666,0.8506242,0.73796713,0.061224934,0.14182508,0.86316305
68,10.223095,1.0240035,0.73379135,12.746394,0.71805805,0.06358193,0.13173074,0.84955806,0.73791087,0.06119042,0.14083572,0.8621719
69,10222,1.0232165,0.75433743,12.742057,0.7180032,0.06356224,0.13168582,0.8484015,0.7378587,0.061170492,0.1407882,0.86109644
70,10.22068,1.0245099,0.6424916,12.708465,0.7179689,0.06353497,0.13015445,0.8468985,0.73782635,0.061143853,0.13916795,0.85969853
71,10.220208,1.0264856,0.58811116,12.696255,0.71791315,0.063583225,0.12845932,0.84598106,0.73777276,0.061191782,0.13737395,0.858845
72,10.219437,1.0252054,0.62326473,12.6644745,0.7178583,0.06360624,0.12753409,0.8451788,0.73771983,0.06121575,0.13639458,0.8580985
73,10.218832,1.0230367,0.63370395,12.635677,0.7178126,0.063599996,0.12653078,0.84389746,0.73767596,0.061210115,0.13533236,0.856906
74,10.218607,1.0237274,0.5288475,12.707521,0.7177842,0.06358166,0.12559177,0.8431594,0.737649,0.061192628,0.13433808,0.85611665
75,10.217874,1.0228987,0.50174,12.740956,0.71775657,0.063522935,0.12488211,0.8444856,0.73762304,0.06113605,0.13358656,0.85735184
76,10.216749,1.0253562,0.5493597,12.69495,0.7177164,0.06352355,0.1242776,0.8449857,0.7375845,0.061136466,0.13294631,0.8578176
77,10.216036,1.0278208,0.57578194,12.802857,0.71766883,0.063600056,0.12380559,0.84662104,0.73753726,0.061212853,0.13244635,0.85934
78,10.216975,1.0268036,0.54313624,12.84448,0.71763974,0.0636587,0.123921886,0.8479501,0.7375089,0.061271146,0.13256954,0.86057705
79,10.216228,1.0270743,0.5186449,12.842176,0.71760833,0.06373225,0.124059595,0.8489263,0.73747796,0.061343204,0.1327154,0.8614854
80,10.215588,1.025387,0.5585481,12.911009,0.7175917,0.06374357,0.1241345,0.8509928,0.7374619,0.061355866,0.13279475,0.8634078
81,10.216387,1.0241796,0.57398164,12.966042,0.7176026,0.06367425,0.124119826,0.85253805,0.73747313,0.061286937,0.1327792,0.86484474
82,10.216694,1.0257124,0.60040605,13.031736,0.7175989,0.06365051,0.124587536,0.85434365,0.7374699,0.061262317,0.13327457,0.86647797
83,10.21506,1.0261652,0.57089114,13.062662,0.7175821,0.06363272,0.12501553,0.8563894,0.7374538,0.061243735,0.13372785,0.86837953
84,10.215426,1.0240293,0.6692637,13.028931,0.7175791,0.0636036,0.12592667,0.85747373,0.73745155,0.061212685,0.13469271,0.8693871
85,10.214565,1.0249585,0.699346,13.180017,0.71754926,0.06361502,0.12696522,0.85942376,0.7374228,0.061222762,0.13579233,0.87119865
86,10.214275,1.0236379,0.6928098,13.1126995,0.7175151,0.06357864,0.1277354,0.86015576,0.73739064,0.061186004,0.13660768,0.8718785
87,10.214051,1.02394,0.8829935,13.222922,0.7175006,0.063548364,0.13036627,0.86159533,0.7373771,0.06115455,0.13939208,0.87321514
88,10.21473,1.0228448,0.8652042,13.186834,0.71748996,0.063529335,0.13204138,0.8630015,0.73736715,0.061134737,0.14116435,0.8745205
89,10.213085,1.0227383,0.9673032,13.221284,0.71746933,0.063495375,0.13436168,0.8633671,0.73734766,0.061100803,0.14361843,0.87485975
90,10.211975,1.0197904,1.0086782,13.214934,0.71743995,0.06343415,0.13714099,0.864269,0.73732036,0.06104084,0.14655681,0.8756968
91,10.213023,1.0187681,1.0954406,13.268682,0.7174324,0.063355215,0.13903739,0.8646711,0.73731416,0.06096421,0.14856099,0.87606984
92,10.211217,1.0176445,1.1477469,13.214251,0.7173872,0.063291036,0.1415935,0.86491156,0.73727196,0.060902603,0.15126142,0.87629294
93,10.210965,1.0166541,1.1572546,13.151111,0.71736485,0.06320908,0.14333393,0.8642954,0.7372512,0.060823377,0.15309948,0.8757213
94,10.211706,1.0188423,1.289175,13.137941,0.71736056,0.06320191,0.1459365,0.86361676,0.7372471,0.060815286,0.15584713,0.8750915
95,10.21,1.0178409,1.3312145,13.10134,0.71731585,0.063203424,0.14815433,0.8621317,0.73720425,0.060817312,0.15818767,0.87371314
96,10.210661,1.0156527,1.3713056,12.957917,0.7173102,0.06318494,0.1502829,0.8598307,0.737199,0.060800172,0.16043323,0.8715766
97,10.208692,1.0148944,1.3882109,12.894378,0.7172778,0.063180104,0.15250827,0.85749394,0.7371683,0.06079551,0.16278012,0.8694059
98,10.209048,1.0153507,1.487943,12.868307,0.7172437,0.06313824,0.15444507,0.85500485,0.73713607,0.060755502,0.164822,0.86709267
99,10.206537,1.0157835,1.5386947,12.800156,0.71719444,0.06312465,0.15648815,0.852182,0.7370893,0.060742196,0.16697524,0.8644678
100,10.205661,1.0172821,1.5381168,12.644751,0.7171152,0.06316929,0.1581467,0.84919876,0.737013,0.060784977,0.16872269,0.86169225
101,10.205353,1.0164919,1.5877142,12.610441,0.7170611,0.06320853,0.16014898,0.84645134,0.73696053,0.060823098,0.17083171,0.85913473
102,10.204491,1.017552,1.6142775,12.568734,0.7169881,0.06326111,0.1614275,0.8432244,0.7368904,0.060873814,0.17217803,0.856129
103,10.204213,1.0180576,1.6297756,12.579635,0.716949,0.06330923,0.16235435,0.8393062,0.7368524,0.060920797,0.17315386,0.8525209
104,10.202119,1.0192757,1.5902461,12.524296,0.71689236,0.06335078,0.16288675,0.83985275,0.7367978,0.060961597,0.17371434,0.8531076
105,10.200938,1.0184811,1.6429826,12.562193,0.71682173,0.06339042,0.16345274,0.8394765,0.73672986,0.060998987,0.17431013,0.852757
106,10.200355,1.0196791,1.6278126,12.52819,0.71675557,0.06342806,0.16359161,0.8390663,0.73666614,0.061034963,0.17445628,0.8523748
107,10.197999,1.0208682,1.6526966,12.491338,0.71665716,0.06348108,0.16382696,0.8381701,0.7365717,0.061086033,0.174704,0.85153955
108,10.197098,1.021024,1.6061991,12.476907,0.71657777,0.06351232,0.16399093,0.83769786,0.73649555,0.061115213,0.17487659,0.8510994
109,10.196107,1.0207694,1.6205584,12.504868,0.716502,0.06355862,0.16376048,0.83666325,0.7364228,0.061161235,0.17463404,0.8501349
110,10.196226,1.0226381,1.6603053,12.520176,0.71643555,0.06361557,0.16409448,0.8357788,0.73635876,0.06121796,0.17498557,0.8493102
111,10.194658,1.022059,1.5955946,12.559243,0.71638423,0.063633464,0.1635079,0.836797,0.7363095,0.06123639,0.17436816,0.8502318
112,10.194129,1.0215049,1.6443967,12.510333,0.71633875,0.06365065,0.16390009,0.83808994,0.7362657,0.061253987,0.17478098,0.8514373
113,10.1935215,1.022781,1.5768249,12.595089,0.7162975,0.063682064,0.1634511,0.83900607,0.7362261,0.061285693,0.17430839,0.85229117
114,10.192042,1.0207199,1.5006645,12.502984,0.71624,0.06364653,0.16182056,0.838715,0.7361716,0.061253015,0.1725919,0.8520199
115,10.18906,1.0218072,1.4834455,12.587996,0.71615714,0.06364648,0.16068296,0.8390065,0.73609275,0.061253946,0.17139405,0.8522916
116,10.190255,1.0211463,1.488377,12.54634,0.71610165,0.063639015,0.15911111,0.83937097,0.7360397,0.0612482,0.1697386,0.8526313
117,10.188562,1.0201876,1.538811,12.538802,0.7160319,0.06359647,0.15873003,0.8385094,0.7359737,0.061207216,0.1693372,0.8518282
118,10.187009,1.0206562,1.4965202,12.572209,0.71595705,0.06359316,0.15868852,0.8393277,0.73590195,0.06120445,0.16929348,0.8525909
119,10.185745,1.0195415,1.3963773,12.530248,0.7159119,0.06355753,0.15781865,0.83874846,0.73585933,0.061170936,0.1683771,0.85205966
120,10.185547,1.0203109,1.4759483,12.495005,0.7158427,0.0635426,0.1576948,0.83844984,0.73579353,0.06115697,0.16824663,0.8517813
121,10.183926,1.019474,1.4306744,12.499648,0.715775,0.0635234,0.15662053,0.8380517,0.7357292,0.061138898,0.16711473,0.8514102
122,10.182641,1.0194093,1.4105176,12.558543,0.71571195,0.063501514,0.1557704,0.83795077,0.7356695,0.061118234,0.16621888,0.8513161
123,10.183606,1.018676,1.4787021,12.453674,0.71568066,0.06347949,0.1565841,0.8371694,0.73563963,0.061095897,0.16707633,0.8505877
124,10.182909,1.018015,1.4064165,12.479758,0.7156459,0.06343991,0.15589662,0.83696085,0.7356069,0.06105877,0.16635188,0.8503933
125,10.183027,1.0178093,1.4505395,12.448646,0.7156358,0.06341093,0.15609278,0.83643824,0.7355976,0.06103136,0.16655861,0.849906
126,10.181166,1.0166311,1.451286,12.40024,0.7156182,0.06336594,0.15649597,0.83434266,0.7355812,0.06098803,0.16698349,0.8478937
127,10.180751,1.0165149,1.5100188,12.394815,0.71557975,0.063334376,0.15680628,0.83364576,0.7355448,0.06095879,0.16731046,0.8473015
128,10.181391,1.01871,1.4722933,12.353544,0.7155561,0.06334805,0.15746064,0.8316773,0.73552185,0.060972895,0.16799992,0.84546465
129,10.180603,1.0157529,1.5061005,12.384777,0.7155245,0.063326,0.15801427,0.8306937,0.73549193,0.060954172,0.16858318,0.8445292
130,10.18099,1.0177042,1.4503908,12.382831,0.7155213,0.063347675,0.15800533,0.8312716,0.73548865,0.060977522,0.16857378,0.84506863
131,10.180471,1.0179937,1.4425119,12.435212,0.715517,0.063380994,0.15733291,0.8317763,0.73548406,0.061012857,0.16786535,0.8455398
132,10.178651,1.0174899,1.5034906,12.454332,0.71547997,0.06337074,0.15764338,0.8328314,0.73544854,0.06100586,0.16819245,0.8465244
133,10.180018,1.0155871,1.5103048,12.428306,0.7154733,0.06337889,0.15768525,0.83373326,0.7354419,0.06101625,0.16823655,0.847366
134,10.178445,1.0165828,1.5224705,12.480393,0.7154392,0.06337314,0.1584046,0.8350771,0.7354094,0.061013572,0.1689944,0.84861964
135,10.178009,1.0163926,1.4909763,12.438432,0.71540666,0.063362755,0.15888977,0.83511037,0.7353785,0.061006356,0.16950546,0.8486507
136,10.176946,1.0155809,1.4815308,12.405119,0.71538687,0.0633516,0.15866978,0.8342,0.73535967,0.06099878,0.16927373,0.84780145
137,10.177856,1.0151826,1.5570183,12.392713,0.7153572,0.06337203,0.15913804,0.8338305,0.73533106,0.06102219,0.16976698,0.8474567
138,10.17706,1.0146737,1.5185423,12.447065,0.71534234,0.06336214,0.15909863,0.8332193,0.73531705,0.06101633,0.16972545,0.8468864
139,10.177135,1.0155443,1.41928,12.475966,0.7153329,0.0633636,0.15838054,0.8325686,0.735308,0.061020516,0.16896905,0.8462792
140,10.174568,1.013664,1.4376779,12.515736,0.715304,0.06333677,0.15794262,0.83473647,0.73528033,0.060997292,0.16850773,0.84824413
141,10.174695,1.0146275,1.5110986,12.567126,0.71525913,0.06333511,0.15748513,0.83726346,0.7352375,0.06099732,0.16802573,0.85060155
142,10.174154,1.0151509,1.3293012,12.581744,0.71521646,0.063352264,0.15561108,0.8379995,0.73519635,0.061015956,0.16605097,0.85128796
143,10.174362,1.0141927,1.3644084,12.670487,0.7151777,0.0633542,0.15507111,0.8394779,0.7351595,0.061020363,0.16548187,0.85266936
144,10.175196,1.0129493,1.3728681,12.656993,0.7151904,0.063354604,0.1544353,0.84143627,0.73517174,0.06102273,0.1648117,0.85449463
145,10.174009,1.0121803,1.3821986,12.662922,0.715187,0.06332374,0.15317708,0.8427257,0.73516876,0.060995545,0.16348529,0.8556961
146,10.174515,1.0122578,1.3209313,12.763973,0.71519846,0.06329156,0.15309568,0.8445287,0.73518056,0.060966108,0.16339946,0.85737556
147,10.173223,1.0111836,1.3394967,12.756428,0.7151878,0.06325342,0.15285358,0.8453731,0.73517084,0.060931142,0.1631442,0.8581619
148,10.173408,1.0107744,1.229932,12.717612,0.7151671,0.06322417,0.15147059,0.84596646,0.73515147,0.060905293,0.16168588,0.8587144
149,10.172212,1.0102394,1.3228067,12.761375,0.7151451,0.0631989,0.15089896,0.84716266,0.7351305,0.0608827,0.16108303,0.859828
150,10.172299,1.0098132,1.2543598,12.797433,0.71511763,0.06317155,0.15026036,0.8474873,0.7351045,0.06085872,0.16040945,0.8601302
151,10.173673,1.0089315,1.3179511,12.749865,0.7151289,0.063137464,0.15005414,0.8474237,0.7351157,0.06082632,0.16019194,0.86007094
152,10.170429,1.0089234,1.3669416,12.727644,0.7150859,0.0631152,0.15136941,0.8475209,0.7350748,0.060804483,0.16157918,0.8601615
153,10.169845,1.0081887,1.3453177,12.668641,0.715054,0.06308879,0.15158641,0.84661996,0.7350446,0.060779575,0.16180803,0.85932285
154,10.16892,1.0098064,1.3849593,12.670603,0.7150022,0.06309478,0.15285042,0.84538066,0.7349952,0.060785595,0.16314088,0.85816896
155,10.1682005,1.0073991,1.4584893,12.681723,0.71492267,0.0630867,0.15422027,0.8447115,0.734919,0.060779095,0.16458502,0.8575458
156,10.166983,1.0094483,1.4759458,12.678452,0.7148706,0.063110165,0.15528965,0.8442269,0.73486894,0.060803983,0.1657122,0.8570945
157,10.1649685,1.0085309,1.40739,12.612201,0.7147964,0.06312806,0.1559013,0.8436694,0.73479813,0.06082278,0.16635682,0.85657525
158,10.165961,1.0075771,1.4809889,12.587086,0.71475506,0.06309841,0.15685143,0.8428415,0.7347589,0.060794234,0.16735804,0.85580397
159,10.165612,1.009289,1.5740795,12.596278,0.71471345,0.06313628,0.15800135,0.84199077,0.7347187,0.06083296,0.16856958,0.85501134
160,10.164633,1.0083299,1.4953254,12.557611,0.7146815,0.06312895,0.15819481,0.8407813,0.73468804,0.06082824,0.16877338,0.8538842
161,10.164869,1.0074244,1.5458353,12.465155,0.7146817,0.06311947,0.15958247,0.8392993,0.73468834,0.060820032,0.17023508,0.8525029
162,10.160897,1.0082003,1.6054229,12.495371,0.71460533,0.06314572,0.1608381,0.836679,0.7346151,0.060848035,0.17155741,0.85005933
163,10.160659,1.008326,1.5354028,12.529951,0.7145328,0.06313469,0.16044697,0.83630395,0.734546,0.06083847,0.17114553,0.8498321
164,10.158662,1.0073225,1.5971851,12.522888,0.7144445,0.063126475,0.1614787,0.8371063,0.7344617,0.060831696,0.17223194,0.85058
165,10.15926,1.0077276,1.6487522,12.533074,0.7143593,0.063139275,0.16252658,0.8378789,0.7343801,0.060844854,0.17333518,0.85130006
166,10.157409,1.0073752,1.6999096,12.580139,0.7143074,0.06313319,0.16349344,0.83874065,0.73433065,0.060839023,0.17435296,0.85210305
167,10.155993,1.0066769,1.6646706,12.600023,0.71423954,0.06311683,0.16482371,0.83931273,0.7342659,0.060823582,0.17575301,0.8526361
168,10.154649,1.0062218,1.7492882,12.608156,0.71417934,0.06311066,0.16640007,0.84017336,0.7342085,0.060816504,0.1774117,0.8534378
169,10.155312,1.0070839,1.7204971,12.52578,0.7141203,0.06311098,0.1671478,0.8400999,0.7341523,0.06081682,0.17819834,0.85336936
170,10.152784,1.0074023,1.6966851,12.596525,0.7140505,0.06311534,0.16711414,0.8402649,0.73408556,0.060820792,0.17816292,0.8535231
171,10.15129,1.0064605,1.6866992,12.530264,0.71397996,0.06311953,0.16734421,0.8396987,0.73401815,0.060825314,0.17840496,0.85299563
172,10.149805,1.0067252,1.7240268,12.587316,0.71390635,0.06313131,0.16708039,0.8394882,0.7339477,0.06083725,0.17812742,0.85279953
173,10.148858,1.0067557,1.7447855,12.560078,0.7138096,0.06313943,0.16733405,0.8398345,0.7338551,0.060845695,0.17839426,0.8531222
174,10.147405,1.0065453,1.785354,12.551046,0.71372974,0.06313494,0.16826269,0.83937514,0.733779,0.06084194,0.17937106,0.8526942
175,10.146105,1.0066422,1.8296609,12.559494,0.7136497,0.063147455,0.1697686,0.8396705,0.7337024,0.060853027,0.18095475,0.8529694
176,10.143495,1.0061109,1.7365001,12.522873,0.7135547,0.06313246,0.16990049,0.83901876,0.73361194,0.06083729,0.18109345,0.8523622
177,10.14165,1.0064113,1.7417455,12.468217,0.713446,0.063119754,0.16986834,0.83808607,0.7335081,0.060824335,0.18105964,0.8514931
178,10.141023,1.0054979,1.7543262,12.582422,0.713351,0.063100226,0.16954045,0.8375625,0.7334176,0.06080501,0.18071485,0.8510052
179,10.137191,1.0030123,1.685936,12.548156,0.7132224,0.063041925,0.16802815,0.83779496,0.73329556,0.060748562,0.17912437,0.85109603
180,10.137626,1.0047065,1.7364947,12.613215,0.71313614,0.06301697,0.16802809,0.8392897,0.7332133,0.06072448,0.17912431,0.85248977
181,10.135787,1.0038247,1.7194881,12.62763,0.7130518,0.062971346,0.16779487,0.8409644,0.7331331,0.0606802,0.178879,0.8540508
182,10.133665,1.0033416,1.6712301,12.61346,0.71294403,0.062931955,0.1669264,0.84127545,0.73303056,0.060641468,0.17796542,0.85434073
183,10.131795,1.0042281,1.6502287,12.634591,0.7128595,0.062943384,0.16655432,0.8421392,0.7329499,0.06065202,0.17757398,0.8551456
184,10.129076,1.0010027,1.6827455,12.680418,0.71273685,0.06288543,0.16599548,0.84280807,0.73283327,0.0605963,0.17698602,0.8557688
185,10.129316,1.0019975,1.6237392,12.712361,0.71264225,0.06285463,0.1650037,0.84364814,0.7327433,0.060566705,0.17594242,0.8565514
186,10.125799,1.0018872,1.681033,12.752491,0.71252555,0.062836625,0.16510502,0.8450187,0.7326321,0.060549844,0.17604905,0.85782784
187,10.124604,1.0013508,1.6040235,12.687116,0.71242267,0.06279965,0.16462788,0.84553385,0.73253405,0.060515363,0.17554694,0.8583076
188,10.123069,1.0008719,1.6350558,12.717502,0.7123337,0.062804736,0.16413659,0.8458968,0.73244905,0.060522757,0.17502987,0.85864556
189,10.121796,1.0009211,1.7575865,12.648725,0.712222,0.062801644,0.16551848,0.8452736,0.73234236,0.06052125,0.17648412,0.85806525
190,10.120986,1.0001574,1.703285,12.710616,0.7121525,0.06278041,0.16574912,0.8448624,0.73227614,0.060501967,0.1767268,0.85768235
191,10.117691,1.0009197,1.7403934,12.637562,0.7120489,0.062791236,0.16716821,0.84437466,0.73217696,0.060514115,0.17821981,0.85722804
